Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating,Vehicle Images
2024-07-09 16:46:00,16:46:00,CNR4369026400,Canceled by Driver, CID705767 ,PRIME SEDAN,Kammanahalli,Vijayanagar,,,, Personal & Car related issue ,,,150.0,,0.0,,,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
,,,,,,,,,,,,,,,,,,,
2024-07-25 04:08:00,04:08:00, CNR8841131157 ,CANCELED BY DRIVER,CID994368,Prime Sedan,PEENYA,JP NAGAR,,,, Personal & Car related issue ,,,252.0,,0.0,,,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
,,,,,,,,,,,,,,,,,,,
2024-07-17 23:36:00,23:36:00,CNR4011693825,Success,CID741488,Bike,Yeshwanthpur,NAGARBHAVI,238.0,55.0,,,No,,2943.0,UPI,8.0,4.9,4.8,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-01 23:04:00,23:04:00,CNR4579801149,Driver Not Found,CID625826,Prime Plus,Sarjapur Road,Electronic City,,,,,,,173.0,,0.0,,,HTTPS://CDN-ICONS-PNG.FLATICON.COM/128/11409/11409716.PNG
,,,,,,,,,,,,,,,,,,,
2024-07-14 19:54:00,19:54:00,CNR9915606494,Driver Not Found,CID581088,Mini,MARATHAHALLI,MG Road,,,,,,,359.0,,0.0,,,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-09 00:58:00,00:58:00,CNR8853982776,Canceled by Driver, CID461661 ,eBike,Ulsoor,KR Puram,,,, Personal & Car related issue ,,,793.0,,0.0,,,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-22 22:36:00,22:36:00,CNR3445961997,SUCCESS,CID485400,Bike, Ulsoor ,PEENYA,168.0,65.0,,,No,,350.0,CASH,15.0,3.5,4.3,HTTPS://CDN-ICONS-PNG.FLATICON.COM/128/9983/9983173.PNG
,,,,,,,,,,,,,,,,,,,
2024-07-25 08:42:00,08:42:00,CNR5097047056, Driver Not Found ,CID361058,Prime SUV,Majestic,Bannerghatta Road,,,,,,,990.0,,0.0,,, https://cdn-icons-png.flaticon.com/128/9983/9983204.png 
2024-07-23 16:50:00,16:50:00,CNR5608227280,Success,CID806218,Bike,Marathahalli,DEVANAHALLI,154.0,90.0,,,No,,156.0,Cash,24.0,3.4,3.9,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-16 20:13:00,20:13:00,CNR5905805884,Driver Not Found,CID611715,Mini,Rajajinagar,Jayanagar,,,,,,,477.0,,0.0,,,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-18 13:09:00,13:09:00,CNR3679065804,Canceled by Customer,CID230226,Auto,Hulimavu,KR Puram,,,Driver asked to cancel,,,,403.0,,0.0,,,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-20 00:34:00,00:34:00,CNR9699773418,Success,CID296596, eBike ,Cox Town,Banashankari,301.0,145.0,,,NO,,496.0,UPI,11.0,3.5,4.8,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
,,,,,,,,,,,,,,,,,,,
2024-07-07 23:14:00,23:14:00, CNR8551274254 ,Success,CID975634,Auto,Devanahalli,MG Road,91.0,25.0,,, No ,,227.0,Cash,3.0,4.6,3.4,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-04 01:04:00,01:04:00,CNR6076046847,Success,CID960976,PRIME SUV, Kammanahalli ,Langford Town,154.0,100.0,,,No,,158.0, UPI ,27.0,3.4,3.1, HTTPS://CDN-ICONS-PNG.FLATICON.COM/128/9983/9983204.PNG 
2024-07-22 13:45:00,13:45:00,CNR5299177284,Canceled by Driver,CID738549,Bike,Sarjapur Road, PEENYA ,,,,Customer was coughing/sick,,,489.0,,0.0,,,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-23 17:19:00,17:19:00,CNR3317312624,Canceled by Driver,CID958480,Bike,Indiranagar,Marathahalli,,,,More than permitted people in there,,,106.0,,0.0,,,HTTPS://CDN-ICONS-PNG.FLATICON.COM/128/9983/9983173.PNG
,,,,,,,,,,,,,,,,,,,
2024-07-11 01:12:00,01:12:00,CNR8828667756,Success,CID488121,Mini,Frazer Town,CHAMARAJPET,210.0,50.0,,,NO,,1120.0,Cash,30.0,4.5,4.9,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-21 23:59:00,23:59:00,CNR3494236053,Canceled by Customer,CID307849,Prime Sedan,MG Road,Yelahanka,,, Driver asked to cancel ,,,,329.0,,0.0,,, https://cdn-icons-png.flaticon.com/128/14183/14183770.png 
,,,,,,,,,,,,,,,,,,,
2024-07-26 12:38:00,12:38:00,CNR9735930874,Canceled by Driver,CID438481,Mini,Hennur, Padmanabhanagar ,,,,Customer related issue,,,179.0,,0.0,,,HTTPS://CDN-ICONS-PNG.FLATICON.COM/128/3202/3202926.PNG
2024-07-07 01:03:00,01:03:00, CNR2659757599 ,Canceled by Driver, CID372151 ,Prime Plus,Basavanagudi, Magadi Road ,,,,CUSTOMER RELATED ISSUE,,,422.0,,0.0,,,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-15 11:14:00,11:14:00,CNR4782189151,Success, CID342308 ,Prime Plus,Yelahanka,Shivajinagar,147.0,115.0,,,No,,711.0,UPI,17.0,4.8,4.2,HTTPS://CDN-ICONS-PNG.FLATICON.COM/128/11409/11409716.PNG
2024-07-10 04:45:00,04:45:00,CNR1531747799,Success,CID472549,Prime Sedan,Jayanagar,JP Nagar,56.0,55.0,,,NO,,355.0,UPI,48.0,4.6,4.6,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-02 13:01:00,13:01:00, CNR3079729390 ,CANCELED BY DRIVER,CID242450,Prime Plus,KAMMANAHALLI,YESHWANTHPUR,,,,Customer related issue,,,382.0,,0.0,,,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-04 01:49:00,01:49:00,CNR9934975055,Success,CID889748,Prime Plus,BTM Layout,Ramamurthy Nagar,126.0,100.0,,,No,,346.0,UPI,13.0,4.3,3.9,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-10 16:51:00,16:51:00,CNR1887051405, Canceled by Driver ,CID586708,EBIKE,Chamarajpet,Banashankari,,,,Customer was coughing/sick,,,362.0,,0.0,,,HTTPS://CDN-ICONS-PNG.FLATICON.COM/128/6839/6839867.PNG
2024-07-22 15:58:00,15:58:00,CNR9796967915, Success ,CID382424,Auto,MAGADI ROAD,Rajajinagar,42.0,120.0,,, NO ,,375.0, Cash ,14.0,4.6,3.4,HTTPS://CDN-ICONS-PNG.FLATICON.COM/128/16526/16526595.PNG
2024-07-28 22:51:00,22:51:00,CNR4866825141,Success,CID410239,Mini,MYSORE ROAD,Basavanagudi,168.0,85.0,,, NO ,,514.0,UPI,18.0,3.5,4.3,HTTPS://CDN-ICONS-PNG.FLATICON.COM/128/3202/3202926.PNG
2024-07-21 09:32:00,09:32:00,CNR7946118645,Driver Not Found,CID962103,eBike,BTM Layout,SHANTINAGAR,,,,,,,416.0,,0.0,,,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-02 03:04:00,03:04:00,CNR9256145296,Success,CID622978,Auto,Indiranagar,Cox Town,252.0,125.0,,,No,,403.0, UPI ,8.0,3.8,3.0,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-14 14:47:00,14:47:00,CNR8715515732,Success,CID401226,Bike,BASAVANAGUDI,Ulsoor,259.0,120.0,,,No,,294.0,UPI,22.0,3.8,3.8,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-30 12:35:00,12:35:00,CNR7286284348,Canceled by Customer,CID916936,Prime Plus,Ulsoor,Cox Town,,,AC IS NOT WORKING,,,,723.0,,0.0,,,HTTPS://CDN-ICONS-PNG.FLATICON.COM/128/11409/11409716.PNG
2024-07-18 18:06:00,18:06:00,CNR9664883815,SUCCESS,CID512901,Auto,VARTHUR,BTM Layout,91.0,110.0,,, No ,,243.0,CASH,6.0,4.2,4.7, https://cdn-icons-png.flaticon.com/128/16526/16526595.png 
,,,,,,,,,,,,,,,,,,,
2024-07-01 21:22:00,21:22:00,CNR8368036714, Canceled by Driver ,CID162634,Mini,Chamarajpet,Rajarajeshwari Nagar,,,,Customer related issue,,,270.0,,0.0,,,HTTPS://CDN-ICONS-PNG.FLATICON.COM/128/3202/3202926.PNG
2024-07-26 09:32:00,09:32:00,CNR6752093768, Success ,CID547632,Prime Plus,Bannerghatta Road,MARATHAHALLI,217.0,110.0,,, No ,,335.0,UPI,29.0,3.4,3.3,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-28 20:11:00,20:11:00, CNR3152095515 ,Success,CID381020, BIKE , Cox Town ,Ulsoor,91.0,90.0,,,No,,848.0,UPI,7.0,3.4,4.8,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
,,,,,,,,,,,,,,,,,,,
2024-07-23 05:16:00,05:16:00, CNR2698972595 , Success ,CID121806,Prime Sedan,Cox Town, Peenya ,308.0,35.0,,,No,,464.0,Cash,13.0,4.9,3.7,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
,,,,,,,,,,,,,,,,,,,
2024-07-06 01:10:00,01:10:00,CNR3149350077,CANCELED BY CUSTOMER, CID840881 ,Auto, Banashankari , Banashankari ,,,DRIVER IS NOT MOVING TOWARDS PICKUP LOCATION,,,,115.0,,0.0,,,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-14 21:20:00,21:20:00,CNR7931700670, Success ,CID216210,EBIKE,Peenya, Ramamurthy Nagar ,203.0,40.0,,, No ,,2965.0,UPI,42.0,4.8,4.1,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-08 12:52:00,12:52:00,CNR1811600282, Canceled by Customer ,CID169602, Prime SUV ,Cox Town,Bannerghatta Road,,, AC is Not working ,,,,448.0,,0.0,,,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-05 04:06:00,04:06:00,CNR3354472081,Canceled by Customer,CID946019,Bike, CHICKPET ,MALLESHWARAM,,,Driver asked to cancel,,,,1843.0,,0.0,,,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-29 16:37:00,16:37:00, CNR2314955032 ,CANCELED BY CUSTOMER,CID735593,Prime SUV,Chamarajpet,HSR LAYOUT,,,Driver is not moving towards pickup location,,,,111.0,,0.0,,,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-30 02:23:00,02:23:00,CNR8771280014, Driver Not Found ,CID511905,Bike,Richmond Town,Devanahalli,,,,,,,428.0,,0.0,,,HTTPS://CDN-ICONS-PNG.FLATICON.COM/128/9983/9983173.PNG
2024-07-01 07:59:00,07:59:00,CNR3340864781,Driver Not Found, CID822970 ,Mini,LANGFORD TOWN,Kengeri,,,,,,,496.0,,0.0,,,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
,,,,,,,,,,,,,,,,,,,
2024-07-04 15:56:00,15:56:00,CNR8118157485,Canceled by Driver,CID549197,eBike,Kadugodi,RT Nagar,,,,Customer related issue,,,138.0,,0.0,,,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-25 01:46:00,01:46:00,CNR4142170534,Driver Not Found,CID955118,PRIME SUV,Mysore Road,Cox Town,,,,,,,340.0,,0.0,,,HTTPS://CDN-ICONS-PNG.FLATICON.COM/128/9983/9983204.PNG
2024-07-21 03:26:00,03:26:00,CNR1749608277, Success ,CID470008, Prime Plus , Magadi Road ,ELECTRONIC CITY,175.0,95.0,,,No,,488.0,UPI,17.0,3.9,3.3,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-10 01:39:00,01:39:00,CNR2581495711,Success, CID942329 ,PRIME SUV,YESHWANTHPUR,HENNUR,112.0,85.0,,,NO,,373.0,CASH,1.0,3.8,4.1, https://cdn-icons-png.flaticon.com/128/9983/9983204.png 
2024-07-17 12:48:00,12:48:00,CNR9559316340,SUCCESS,CID702703,PRIME PLUS,Yeshwanthpur,Devanahalli,49.0,100.0,,, No ,,921.0,UPI,21.0,4.4,4.5, https://cdn-icons-png.flaticon.com/128/11409/11409716.png 
,,,,,,,,,,,,,,,,,,,
2024-07-11 01:06:00,01:06:00,CNR3837755258, SUCCESS ,CID989208,Prime Plus,Koramangala,MAGADI ROAD,252.0,145.0,,,No,,709.0,Cash,20.0,4.7,4.8, https://cdn-icons-png.flaticon.com/128/11409/11409716.png 
2024-07-23 16:25:00,16:25:00,CNR5106418153,Success, CID707958 ,Auto, CHICKPET , HSR Layout ,140.0,90.0,,,NO,,281.0,Cash,4.0,4.6,4.4,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-05 23:28:00,23:28:00,CNR4757174022,Success,CID805624, PRIME SUV ,Sahakar Nagar,Frazer Town,105.0,105.0,,,No,,846.0,UPI,23.0,4.5,4.2,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-08 22:33:00,22:33:00,CNR6477162275,CANCELED BY DRIVER,CID423015,Prime Sedan,Ulsoor,Vijayanagar,,,,Personal & Car related issue,,,490.0,,0.0,,, https://cdn-icons-png.flaticon.com/128/14183/14183770.png 
2024-07-13 05:10:00,05:10:00,CNR3767693661,Success,CID283349, Bike ,Ulsoor, Whitefield ,49.0,55.0,,,No,,335.0, UPI ,34.0,4.3,4.3,HTTPS://CDN-ICONS-PNG.FLATICON.COM/128/9983/9983173.PNG
,,,,,,,,,,,,,,,,,,,
2024-07-16 00:45:00,00:45:00,CNR9519268102,Canceled by Customer, CID587407 ,Auto, Majestic , BTM Layout ,,, Driver asked to cancel ,,,,444.0,,0.0,,,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-01 06:35:00,06:35:00,CNR5374369666,SUCCESS, CID451560 ,PRIME SUV,Yeshwanthpur,Mysore Road,105.0,65.0,,, NO ,,2814.0, Cash ,30.0,4.0,3.8,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-08 21:37:00,21:37:00,CNR6709582411,Success,CID764050, Mini ,Kammanahalli, Ulsoor ,280.0,30.0,,,NO,,134.0, Cash ,33.0,3.0,3.4,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-20 22:08:00,22:08:00, CNR1589418613 ,SUCCESS,CID587372, eBike ,WHITEFIELD,KORAMANGALA,126.0,85.0,,,No,,259.0,Cash,35.0,3.9,4.0,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-18 20:46:00,20:46:00,CNR7800052012,Canceled by Customer,CID841189,Prime SUV,Hulimavu,Magadi Road,,,Change of plans,,,,186.0,,0.0,,,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-02 06:12:00,06:12:00, CNR4183719734 ,Success,CID916339,Auto,Vijayanagar,Yelahanka,133.0,70.0,,,No,,431.0,UPI,4.0,3.9,4.8,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-27 05:45:00,05:45:00,CNR3012961639,Canceled by Customer,CID607107, BIKE , Peenya ,Electronic City,,, Change of plans ,,,,720.0,,0.0,,,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-25 13:56:00,13:56:00,CNR6746419691,Canceled by Customer,CID267447,Prime SUV,Sarjapur Road,Hosur Road,,,AC is Not working,,,,694.0,,0.0,,,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2024-07-22 20:47:00,20:47:00,CNR3935653568,Success,CID805269,eBike,Bannerghatta Road,Tumkur Road,91.0,95.0,,,No,,406.0,UPI,38.0,3.9,4.4, https://cdn-icons-png.flaticon.com/128/6839/6839867.png 
2024-07-26 19:47:00,19:47:00, CNR4352717425 ,Canceled by Driver, CID493062 ,Auto,RT Nagar,HSR Layout,,,,Customer related issue,,,221.0,,0.0,,,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
,,,,,,,,,,,,,,,,,,,
2024-07-18 06:48:00,06:48:00,CNR9642291296,Success, CID970714 ,Bike,BTM Layout, Shantinagar ,112.0,50.0,,,No,,121.0,Cash,6.0,3.6,3.4,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-25 10:20:00,10:20:00,CNR9530592017,Canceled by Driver,CID246332,Auto, Electronic City ,Sarjapur Road,,,, Personal & Car related issue ,,,133.0,,0.0,,,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-01 20:09:00,20:09:00,CNR1291941469, Success ,CID704270,Prime Sedan,MG Road,PEENYA,35.0,55.0,,,No,,1454.0,Cash,11.0,4.1,3.4,HTTPS://CDN-ICONS-PNG.FLATICON.COM/128/14183/14183770.PNG
2024-07-17 00:28:00,00:28:00,CNR9227185928, Canceled by Customer ,CID747295,Prime Plus, Chickpet ,Richmond Town,,,Change of plans,,,,112.0,,0.0,,,HTTPS://CDN-ICONS-PNG.FLATICON.COM/128/11409/11409716.PNG
2024-07-24 18:45:00,18:45:00,CNR6559808896,Success,CID899669,PRIME SUV,Hulimavu, Vijayanagar ,161.0,105.0,,,No,,616.0, CASH ,22.0,4.8,4.4,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-16 00:37:00,00:37:00,CNR9953272245,Success,CID137851,Prime Plus,Banashankari,KR Puram,308.0,65.0,,,YES,Vehicle Breakdown,255.0,Cash,24.0,3.2,3.0, HTTPS://CDN-ICONS-PNG.FLATICON.COM/128/11409/11409716.PNG 
2024-07-14 03:27:00,03:27:00,CNR8471990991,Driver Not Found,CID409724,eBike,Hebbal,Rajajinagar,,,,,,,793.0,,0.0,,, https://cdn-icons-png.flaticon.com/128/6839/6839867.png 
2024-07-27 04:37:00,04:37:00, CNR4780897747 ,CANCELED BY DRIVER,CID213250, eBike ,RAJARAJESHWARI NAGAR,RT Nagar,,,,PERSONAL & CAR RELATED ISSUE,,,258.0,,0.0,,,HTTPS://CDN-ICONS-PNG.FLATICON.COM/128/6839/6839867.PNG
2024-07-24 15:03:00,15:03:00,CNR8101574692,Canceled by Driver,CID182063,Prime Sedan,YELAHANKA,Sahakar Nagar,,,,MORE THAN PERMITTED PEOPLE IN THERE,,,338.0,,0.0,,,HTTPS://CDN-ICONS-PNG.FLATICON.COM/128/14183/14183770.PNG
2024-07-02 06:50:00,06:50:00,CNR7947237324,Driver Not Found,CID627416,Prime SUV, Banashankari , Indiranagar ,,,,,,,267.0,,0.0,,,HTTPS://CDN-ICONS-PNG.FLATICON.COM/128/9983/9983204.PNG
2024-07-18 01:55:00,01:55:00,CNR3560424927,Success,CID746198,Prime SUV, Hulimavu , Banashankari ,49.0,60.0,,,No,,809.0,Cash,34.0,4.3,3.2,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-14 00:53:00,00:53:00,CNR2285857717, Canceled by Customer , CID341415 , EBIKE ,Kammanahalli,PADMANABHANAGAR,,,Driver is not moving towards pickup location,,,,103.0,,0.0,,, https://cdn-icons-png.flaticon.com/128/6839/6839867.png 
2024-07-06 05:23:00,05:23:00,CNR7339113332, Canceled by Customer ,CID864379,Prime SUV,Hennur,Kadugodi,,,Driver asked to cancel,,,,271.0,,0.0,,,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-21 21:36:00,21:36:00,CNR4049663323,Success,CID889172,eBike,Varthur, JP Nagar ,245.0,140.0,,,No,,365.0,Cash,16.0,4.8,3.1,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-11 00:15:00,00:15:00, CNR6759090780 ,Success,CID155784,BIKE,Frazer Town,Rajajinagar,63.0,50.0,,,No,,438.0, UPI ,1.0,3.4,3.2,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-06 11:10:00,11:10:00, CNR9170368300 ,CANCELED BY DRIVER,CID125224,Prime Sedan,Richmond Town,Hulimavu,,,,Customer related issue,,,281.0,,0.0,,,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
,,,,,,,,,,,,,,,,,,,
2024-07-08 11:42:00,11:42:00,CNR9085938934,SUCCESS, CID518473 ,Bike,Shantinagar,Rajarajeshwari Nagar,70.0,100.0,,,No,,491.0,Cash,42.0,4.3,4.5,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-18 22:14:00,22:14:00,CNR2144380867, Canceled by Customer ,CID626426,Auto,Yelahanka,SARJAPUR ROAD,,,Change of plans,,,,290.0,,0.0,,,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-04 23:50:00,23:50:00,CNR1741466773,Canceled by Driver,CID256534,eBike, TUMKUR ROAD ,Chamarajpet,,,,CUSTOMER RELATED ISSUE,,,233.0,,0.0,,, https://cdn-icons-png.flaticon.com/128/6839/6839867.png 
2024-07-28 14:52:00,14:52:00,CNR9210573208,CANCELED BY CUSTOMER,CID687679,Prime Sedan, Magadi Road , Basavanagudi ,,,Driver asked to cancel,,,,445.0,,0.0,,,HTTPS://CDN-ICONS-PNG.FLATICON.COM/128/14183/14183770.PNG
2024-07-06 07:59:00,07:59:00, CNR1628272118 ,SUCCESS,CID769543,BIKE,Hulimavu,JP NAGAR,168.0,50.0,,,No,,414.0,UPI,31.0,3.2,4.8,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
,,,,,,,,,,,,,,,,,,,
2024-07-07 17:02:00,17:02:00,CNR9986865616, Success ,CID282045,Mini,Indiranagar,KR Puram,70.0,25.0,,,YES,Customer Demand,2349.0,UPI,36.0,3.3,5.0,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-13 19:18:00,19:18:00,CNR6766630852,SUCCESS, CID533363 ,Bike, Shivajinagar , Hennur ,49.0,80.0,,,No,,154.0,UPI,12.0,4.2,4.9,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-18 14:46:00,14:46:00,CNR1885986244,Success,CID184403,Prime Plus,Kammanahalli, MALLESHWARAM ,301.0,90.0,,, NO ,,1448.0,UPI,5.0,4.0,4.0,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-28 00:36:00,00:36:00,CNR9315368347,SUCCESS,CID732520,Prime Sedan,Sarjapur Road, Hulimavu ,266.0,110.0,,, No ,,404.0,CASH,29.0,4.3,4.2,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
2024-07-07 03:09:00,03:09:00,CNR9283324764,SUCCESS,CID195245,AUTO,RICHMOND TOWN,Frazer Town,84.0,70.0,,,No,,401.0,Cash,19.0,3.5,3.8,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
,,,,,,,,,,,,,,,,,,,
2024-07-20 18:30:00,18:30:00,CNR1391002300,Success,CID859580,eBike,HENNUR,Frazer Town,126.0,145.0,,,No,,126.0,UPI,8.0,4.1,3.6,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-08 08:34:00,08:34:00,CNR3322227446,Success,CID393481,Auto, Banashankari ,Richmond Town,112.0,140.0,,, No ,,320.0,Cash,6.0,4.6,3.4,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-12 11:08:00,11:08:00, CNR3799924574 ,Success,CID764981,Bike,Whitefield,HSR Layout,301.0,25.0,,,No,,486.0,Cash,13.0,4.3,4.1,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
,,,,,,,,Error,,,,,,,,,,,
2024-07-05 04:32:00,04:32:00,CNR2573161507, Canceled by Driver ,CID285674,Prime SUV,Chamarajpet,Marathahalli,,,,Customer related issue,,,178.0,,0.0,,,HTTPS://CDN-ICONS-PNG.FLATICON.COM/128/9983/9983204.PNG
,,,,,,,,,,,,,,,,,,,
2024-07-17 15:49:00,15:49:00,CNR6409143456, Success ,CID874167,PRIME PLUS, Bannerghatta Road ,Rajajinagar,161.0,115.0,,,No,,226.0,Cash,6.0,4.8,3.6,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-28 22:12:00,22:12:00,CNR6158574220,Success,CID471800,Prime Sedan,Majestic,Varthur,301.0,120.0,,,No,,711.0,Cash,49.0,3.9,3.2,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
